Gabriel Dos Santos,BRA,DF,24,14,14,1260.0,2.0,0.0,0.0,2.0,0.0,2.3,0.2,Arsenal
Aaron Ramsdale,ENG,GK,24,14,14,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
William Saliba,FRA,DF,21,14,14,1245.0,2.0,1.0,0.0,4.0,0.0,0.3,0.9,Arsenal
Gabriel Jesus,BRA,FW,25,14,14,1219.0,5.0,5.0,0.0,4.0,0.0,7.7,2.8,Arsenal
Martinelli,BRA,FW,21,14,14,1181.0,5.0,2.0,0.0,1.0,0.0,3.0,3.3,Arsenal
Bukayo Saka,ENG,FW,21,14,14,1171.0,4.0,6.0,1.0,3.0,0.0,4.5,2.9,Arsenal
Granit Xhaka,SUI,MF,30,14,14,1166.0,3.0,3.0,0.0,2.0,0.0,1.5,1.8,Arsenal
Ben White,ENG,DF,25,14,14,1150.0,0.0,2.0,0.0,3.0,0.0,0.3,1.1,Arsenal
Martin Ødegaard,NOR,MF,23,13,13,1074.0,6.0,2.0,0.0,2.0,0.0,4.1,2.6,Arsenal
Thomas Partey,GHA,MF,29,11,11,959.0,2.0,0.0,0.0,1.0,0.0,1.0,0.6,Arsenal
Oleksandr Zinchenko,UKR,DF,25,7,7,559.0,0.0,1.0,0.0,0.0,0.0,0.1,0.4,Arsenal
Takehiro Tomiyasu,JPN,DF,24,11,4,410.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,Arsenal
Kieran Tierney,SCO,DF,25,12,3,354.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,Arsenal
Albert Sambi Lokonga,BEL,MF,23,6,2,198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Fabio Vieira,POR,MF,22,8,1,246.0,1.0,1.0,0.0,0.0,0.0,0.3,1.1,Arsenal
Mohamed Elneny,EGY,MF,30,3,1,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Eddie Nketiah,ENG,"FW,MF",23,12,0,152.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,Arsenal
Reiss Nelson,ENG,FW,22,2,0,65.0,2.0,1.0,0.0,0.0,0.0,0.6,0.1,Arsenal
Emile Smith Rowe,ENG,"MF,FW",22,4,0,51.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,Arsenal
Cédric Soares,POR,DF,31,2,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Rob Holding,ENG,DF,27,4,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Marquinhos,BRA,MF,19,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Ethan Nwaneri,ENG,FW,15,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal
Karl Jakob Hein,EST,GK,20,0,0,0,0,0,0,0,0,0,0,Arsenal
Nicolas Pépé,CIV,"FW,MF",27,0,0,0,0,0,0,0,0,0,0,Arsenal
Matthew Smith,ENG,MF,22,0,0,0,0,0,0,0,0,0,0,Arsenal
Lino Sousa,ENG,DF,17,0,0,0,0,0,0,0,0,0,0,Arsenal
Matt Turner,USA,GK,28,0,0,0,0,0,0,0,0,0,0,Arsenal
Ederson,BRA,GK,29,14,14,1260.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,Manchester-City
João Cancelo,POR,DF,28,14,14,1116.0,2.0,1.0,0.0,3.0,1.0,0.7,0.8,Manchester-City
Kevin De Bruyne,BEL,MF,31,14,13,1131.0,3.0,9.0,0.0,0.0,0.0,2.5,6.0,Manchester-City
Rodri,ESP,MF,26,13,13,1122.0,0.0,3.0,0.0,1.0,0.0,1.2,0.8,Manchester-City
Bernardo Silva,POR,"MF,FW",28,14,12,1068.0,2.0,5.0,0.0,1.0,0.0,1.3,1.8,Manchester-City
Erling Haaland,NOR,FW,22,13,12,1037.0,18.0,3.0,3.0,2.0,0.0,11.1,2.8,Manchester-City
Phil Foden,ENG,"FW,DF",22,14,11,908.0,7.0,4.0,0.0,1.0,0.0,3.7,2.0,Manchester-City
İlkay Gündoğan,GER,MF,32,12,10,891.0,2.0,2.0,0.0,0.0,0.0,2.1,2.1,Manchester-City
Rúben Dias,POR,DF,25,12,9,873.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1,Manchester-City
John Stones,ENG,DF,28,9,8,731.0,0.0,2.0,0.0,1.0,0.0,0.4,1.3,Manchester-City
Manuel Akanji,SUI,DF,27,8,8,701.0,0.0,1.0,0.0,1.0,0.0,0.5,0.1,Manchester-City
Nathan Aké,NED,DF,27,8,7,571.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Manchester-City
Kyle Walker,ENG,DF,32,7,7,560.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,Manchester-City
Jack Grealish,ENG,FW,27,8,6,547.0,1.0,0.0,0.0,0.0,0.0,0.9,1.2,Manchester-City
Riyad Mahrez,ALG,"FW,MF",31,9,4,372.0,1.0,0.0,0.0,1.0,0.0,1.2,0.5,Manchester-City
Julián Álvarez,ARG,"FW,MF",22,12,3,364.0,3.0,0.0,0.0,0.0,0.0,1.3,0.4,Manchester-City
Aymeric Laporte,ESP,DF,28,4,3,286.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,Manchester-City
Sergio Gómez,ESP,"DF,MF",22,5,0,111.0,0.0,1.0,0.0,0.0,0.0,0.1,0.4,Manchester-City
Cole Palmer,ENG,"FW,MF",20,7,0,106.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,Manchester-City
Rico Lewis,ENG,"DF,MF",18,3,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Kalvin Phillips,ENG,MF,26,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester-City
Scott Carson,ENG,GK,37,0,0,0,0,0,0,0,0,0,0,Manchester-City
Liam Delap,ENG,FW,19,0,0,0,0,0,0,0,0,0,0,Manchester-City
Claudio Gomes,FRA,MF,22,0,0,0,0,0,0,0,0,0,0,Manchester-City
Ben Knight,ENG,MF,20,0,0,0,0,0,0,0,0,0,0,Manchester-City
Luke Mbete-Tatu,ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Manchester-City
Stefan Ortega,GER,GK,30,0,0,0,0,0,0,0,0,0,0,Manchester-City
Josh Wilson-Esbrand,ENG,DF,19,0,0,0,0,0,0,0,0,0,0,Manchester-City
Nick Pope,ENG,GK,30,15,15,1350.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Newcastle-United
Kieran Trippier,ENG,DF,32,15,15,1324.0,1.0,3.0,0.0,3.0,0.0,0.4,3.7,Newcastle-United
Miguel Almirón,PAR,FW,28,15,15,1255.0,8.0,1.0,0.0,0.0,0.0,4.6,1.1,Newcastle-United
